Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Points,MU_goals
14-15,8/16/2014,Man United,Swansea,1,2,A,0,1,14,5,5,4,14,20,4,0,2,4,0,0,0,1
14-15,8/24/2014,Sunderland,Man United,1,1,D,1,1,11,10,3,3,10,15,4,4,0,2,0,0,1,1
14-15,8/30/2014,Burnley,Man United,0,0,D,0,0,9,7,3,2,10,14,3,6,2,2,0,0,1,0
14-15,9/14/2014,Man United,QPR,4,0,H,3,0,19,9,9,2,11,8,3,1,1,0,0,0,3,4
14-15,9/21/2014,Leicester,Man United,5,3,H,1,2,15,16,5,5,11,9,2,4,1,1,0,1,0,3
14-15,9/27/2014,Man United,West Ham,2,1,H,2,1,8,13,3,4,10,12,7,10,1,3,1,0,3,2
14-15,10/5/2014,Man United,Everton,2,1,H,1,0,15,10,4,6,18,11,11,6,4,3,0,0,3,2
14-15,10/20/2014,West Brom,Man United,2,2,D,1,0,8,22,2,7,6,8,0,11,1,2,0,0,1,2
14-15,10/26/2014,Man United,Chelsea,1,1,D,0,0,19,9,7,4,13,14,4,7,3,5,0,1,1,1
14-15,11/2/2014,Man City,Man United,1,0,H,0,0,16,9,6,2,15,9,7,4,3,1,0,1,0,0
14-15,11/8/2014,Man United,Crystal Palace,1,0,H,0,0,23,6,5,1,8,12,11,4,1,3,0,0,3,1
14-15,11/22/2014,Arsenal,Man United,1,2,A,0,0,23,12,9,2,12,8,11,5,2,1,0,0,3,2
14-15,11/29/2014,Man United,Hull,3,0,H,2,0,12,4,6,2,12,12,7,0,2,2,0,0,3,3
14-15,12/2/2014,Man United,Stoke,2,1,H,1,1,10,5,3,4,8,13,2,2,2,4,0,0,3,2
14-15,12/8/2014,Southampton,Man United,1,2,A,1,1,15,3,4,2,12,9,5,1,2,1,0,0,3,2
14-15,12/14/2014,Man United,Liverpool,3,0,H,2,0,11,19,6,9,13,14,2,7,4,3,0,0,3,3
14-15,12/20/2014,Aston Villa,Man United,1,1,D,1,0,10,16,4,9,9,10,3,9,1,1,1,0,1,1
14-15,12/26/2014,Man United,Newcastle,3,1,H,2,0,9,8,4,4,16,9,4,5,1,2,0,0,3,3
14-15,12/28/2014,Tottenham,Man United,0,0,D,0,0,9,9,4,5,11,19,3,6,2,4,0,0,1,0
14-15,1/1/2015,Stoke,Man United,1,1,D,1,1,11,6,2,2,8,12,11,7,0,0,0,0,1,1
14-15,1/11/2015,Man United,Southampton,0,1,A,0,0,10,9,0,1,9,10,3,5,2,3,0,0,0,0
14-15,1/17/2015,QPR,Man United,0,2,A,0,0,18,12,4,7,12,10,3,3,3,2,0,0,3,2
14-15,1/31/2015,Man United,Leicester,3,1,H,3,0,12,4,5,1,8,12,4,3,0,1,0,0,3,3
14-15,2/8/2015,West Ham,Man United,1,1,D,0,0,13,18,6,6,7,13,9,9,2,2,0,1,1,1
14-15,2/11/2015,Man United,Burnley,3,1,H,2,1,11,13,7,3,15,8,5,8,4,3,0,0,3,3
14-15,2/21/2015,Swansea,Man United,2,1,H,1,1,11,18,6,3,6,15,4,10,2,4,0,0,0,1
14-15,2/28/2015,Man United,Sunderland,2,0,H,0,0,30,5,10,3,6,11,13,1,1,1,0,1,3,2
14-15,3/4/2015,Newcastle,Man United,0,1,A,0,0,9,11,2,5,6,14,4,1,1,2,0,0,3,1
14-15,3/15/2015,Man United,Tottenham,3,0,H,3,0,11,5,3,1,12,10,4,2,1,1,0,0,3,3
14-15,3/22/2015,Liverpool,Man United,1,2,A,0,1,7,6,1,4,14,17,2,3,2,2,1,0,3,2
14-15,4/4/2015,Man United,Aston Villa,3,1,H,1,0,19,4,7,2,15,12,10,2,0,1,0,0,3,3
14-15,4/12/2015,Man United,Man City,4,2,H,2,1,11,10,7,3,9,16,1,5,0,3,0,0,3,4
14-15,4/18/2015,Chelsea,Man United,1,0,H,1,0,7,15,2,2,13,11,3,7,7,1,0,0,0,0
14-15,4/26/2015,Everton,Man United,3,0,H,2,0,9,17,7,4,6,10,7,7,0,2,0,0,0,0
14-15,5/2/2015,Man United,West Brom,0,1,A,0,0,26,6,9,3,10,11,9,3,1,0,0,0,0,0
14-15,5/9/2015,Crystal Palace,Man United,1,2,A,0,1,13,13,4,4,13,12,7,6,0,1,0,0,3,2
14-15,5/17/2015,Man United,Arsenal,1,1,D,1,0,12,5,4,3,16,8,5,5,1,0,0,0,1,1
14-15,5/24/2015,Hull,Man United,0,0,D,0,0,16,7,6,1,12,15,8,1,2,2,0,1,1,0
15-16,8/8/2015,Man United,Tottenham,1,0,H,1,0,9,9,1,4,12,12,1,2,2,3,0,0,3,1
15-16,8/14/2015,Aston Villa,Man United,0,1,A,0,1,5,9,1,2,14,10,3,5,2,2,0,0,3,1
15-16,8/22/2015,Man United,Newcastle,0,0,D,0,0,20,7,8,0,15,11,11,5,2,2,0,0,1,0
15-16,8/30/2015,Swansea,Man United,2,1,H,0,0,9,11,4,4,6,15,0,1,2,2,0,0,0,1
15-16,9/12/2015,Man United,Liverpool,3,1,H,0,0,9,8,3,4,6,11,4,4,1,2,0,0,3,3
15-16,9/20/2015,Southampton,Man United,2,3,A,1,1,15,10,8,3,6,13,5,5,2,0,0,0,3,3
15-16,9/26/2015,Man United,Sunderland,3,0,H,1,0,12,9,7,4,12,17,5,2,0,3,0,0,3,3
15-16,10/4/2015,Arsenal,Man United,3,0,H,3,0,12,9,5,5,8,17,3,6,1,3,0,0,0,0
15-16,10/17/2015,Everton,Man United,0,3,A,0,2,12,10,3,7,12,14,5,3,2,2,0,0,3,3
15-16,10/25/2015,Man United,Man City,0,0,D,0,0,6,6,1,1,17,13,6,4,2,2,0,0,1,0
15-16,10/31/2015,Crystal Palace,Man United,0,0,D,0,0,10,5,5,1,12,15,7,3,3,3,0,0,1,0
15-16,11/7/2015,Man United,West Brom,2,0,H,0,0,13,4,3,0,11,10,5,1,1,3,0,1,3,2
15-16,11/21/2015,Watford,Man United,1,2,A,0,1,10,13,5,6,6,12,4,10,1,2,0,0,3,2
15-16,11/28/2015,Leicester,Man United,1,1,D,1,1,7,10,3,2,5,7,1,8,0,1,0,0,1,1
15-16,12/5/2015,Man United,West Ham,0,0,D,0,0,21,9,1,2,9,13,6,2,1,0,0,0,1,0
15-16,12/12/2015,Bournemouth,Man United,2,1,H,1,1,11,11,5,5,12,12,5,7,2,1,0,0,0,1
15-16,12/19/2015,Man United,Norwich,1,2,A,0,1,11,6,2,4,4,10,11,0,0,2,0,0,0,1
15-16,12/26/2015,Stoke,Man United,2,0,H,2,0,13,11,3,6,13,16,1,12,1,2,0,0,0,0
15-16,12/28/2015,Man United,Chelsea,0,0,D,0,0,12,8,2,3,16,6,5,3,4,2,0,0,1,0
15-16,1/2/2016,Man United,Swansea,2,1,H,0,0,19,9,6,4,14,10,4,2,2,1,0,0,3,2
15-16,1/12/2016,Newcastle,Man United,3,3,D,1,2,14,12,6,4,10,12,5,3,1,3,0,0,1,3
15-16,1/17/2016,Liverpool,Man United,0,1,A,0,0,19,7,4,1,6,18,5,4,0,2,0,0,3,1
15-16,1/23/2016,Man United,Southampton,0,1,A,0,0,8,7,1,2,11,8,4,4,0,0,0,0,0,0
15-16,2/2/2016,Man United,Stoke,3,0,H,2,0,15,10,5,0,13,13,2,5,2,1,0,0,3,3
15-16,2/7/2016,Chelsea,Man United,1,1,D,0,0,16,17,5,7,6,9,10,11,0,3,0,0,1,1
15-16,2/13/2016,Sunderland,Man United,2,1,H,1,1,21,12,5,6,7,15,6,8,2,3,0,0,0,1
15-16,2/28/2016,Man United,Arsenal,3,2,H,2,1,7,13,5,5,21,15,2,3,4,3,0,0,3,3
15-16,3/2/2016,Man United,Watford,1,0,H,0,0,14,13,3,3,7,17,9,7,1,2,0,0,3,1
15-16,3/6/2016,West Brom,Man United,1,0,H,0,0,9,7,2,1,8,7,4,5,1,0,0,1,0,0
15-16,3/20/2016,Man City,Man United,0,1,A,0,1,26,5,2,3,9,12,11,5,1,1,0,0,3,1
15-16,4/3/2016,Man United,Everton,1,0,H,0,0,10,7,2,1,15,6,5,5,2,0,0,0,3,1
15-16,4/10/2016,Tottenham,Man United,3,0,H,0,0,16,5,8,1,10,10,2,7,3,3,0,0,0,0
15-16,4/16/2016,Man United,Aston Villa,1,0,H,1,0,13,7,4,1,9,10,14,3,0,1,0,0,3,1
15-16,4/20/2016,Man United,Crystal Palace,2,0,H,1,0,16,5,10,0,13,7,10,2,1,2,0,0,3,2
15-16,5/1/2016,Man United,Leicester,1,1,D,1,1,21,14,6,3,16,10,6,5,3,0,0,1,1,1
15-16,5/7/2016,Norwich,Man United,0,1,A,0,0,8,15,2,2,11,10,1,6,1,0,0,0,3,1
15-16,5/10/2016,West Ham,Man United,3,2,H,1,0,20,3,6,2,6,18,6,2,1,3,0,0,0,2
15-16,5/17/2016,Man United,Bournemouth,3,1,H,1,0,12,7,5,0,9,8,7,1,1,0,0,0,3,3
16-17,8/14/2016,Bournemouth,Man United,1,3,A,0,1,9,11,3,7,7,10,4,2,0,1,0,0,3,3
16-17,8/19/2016,Man United,Southampton,2,0,H,1,0,12,13,5,1,11,8,4,0,0,0,0,0,3,2
16-17,8/27/2016,Hull,Man United,0,1,A,0,0,8,29,2,9,9,6,1,6,2,3,0,0,3,1
16-17,9/10/2016,Man United,Man City,1,2,A,1,2,14,18,3,6,15,10,4,4,4,2,0,0,0,1
16-17,9/18/2016,Watford,Man United,3,1,H,1,0,10,15,5,2,14,19,5,7,3,4,0,0,0,1
16-17,9/24/2016,Man United,Leicester,4,1,H,4,0,16,10,7,3,9,12,8,6,0,2,0,0,3,4
16-17,10/2/2016,Man United,Stoke,1,1,D,0,0,24,7,9,6,14,9,13,2,3,0,0,0,1,1
